pl_name,hostname,discoverymethod,disc_year,period,prad,teq,insol,dor,srad,smass,sage,steff,slogg,smet,ra,dec,disposition,source
Kepler-6 b,Kepler-6,Transit,2009,3.2346994,13.103321,,,,1.261,1.114,5.7,5647.0,,0.34,296.8372475,48.2399695,CONFIRMED,PS
Kepler-6 b,Kepler-6,Transit,2009,3.234723,14.83,1500.0,,7.05,1.391,1.209,3.8,5647.0,4.236,0.34,296.8372475,48.2399695,CONFIRMED,PS
Kepler-6 b,Kepler-6,Transit,2009,3.23469955,11.07,1260.0,,7.53,1.082,1.138,1.3,5826.0,4.42,,296.8372475,48.2399695,CONFIRMED,PS
Kepler-6 b,Kepler-6,Transit,2009,3.234699282,13.06,1356.0,797.62,7.52,1.291,1.047,,5640.0,4.236,0.34,296.8372475,48.2399695,CONFIRMED,PS
Kepler-6 b,Kepler-6,Transit,2009,3.234699312,13.41,1355.0,797.62,7.54164,1.291,1.047,,5640.0,4.236,0.34,296.8372475,48.2399695,CONFIRMED,PS
Kepler-6 b,Kepler-6,Transit,2009,3.234699312,13.101,,753.0,,1.261,1.09,6.46,5660.0,,0.36,296.8372475,48.2399695,CONFIRMED,PS
Kepler-6 b,Kepler-6,Transit,2009,3.234702,13.103321,1451.0,,7.57,1.261,1.114,5.7,5647.0,4.284,0.34,296.8372475,48.2399695,CONFIRMED,PS
Kepler-6 b,Kepler-6,Transit,2009,3.234699312,13.38,,,,1.29,1.05,7.76,5690.0,4.24,0.26,296.8372475,48.2399695,CONFIRMED,PS
Kepler-6 b,Kepler-6,Transit,2009,3.234699312,13.41,1355.0,797.62,7.54164,1.291,1.047,,5640.0,4.236,0.34,296.8372475,48.2399695,CONFIRMED,PS
Kepler-6 b,Kepler-6,Transit,2009,3.2346996,14.616536,1460.0,,7.503,1.391,1.209,,5647.0,4.236,0.34,296.8372475,48.2399695,CONFIRMED,PS
Kepler-6 b,Kepler-6,Transit,2009,3.234699312,13.41,1355.0,797.62,7.54164,1.291,1.047,,5640.0,4.236,0.34,296.8372475,48.2399695,CONFIRMED,PS
Kepler-6 b,Kepler-6,Transit,2009,3.23469439654228,13.3160022506761,1374.57422721561,843.711150628948,,1.31473994255066,,,5613.0,4.2,,296.8372475,48.2399695,CONFIRMED,PS
Kepler-491 b,Kepler-491,Transit,2016,4.225384512,9.16,1118.0,369.43,12.3785,1.055,1.071,,5649.0,4.421,0.48,287.1305782,42.3501533,CONFIRMED,PS
Kepler-491 b,Kepler-491,Transit,2016,4.225384512,8.547,,300.1,,0.984,1.044,2.34,5522.0,,0.37,287.1305782,42.3501533,CONFIRMED,PS
